Date,Ticker,Close,Volume
2015-05-04,ABEV,4.2434,6525900
2015-05-04,AGRO,9.0407,167594
2015-05-04,AMX,14.8339,3039357
2015-05-04,ARCO,5.6131,343200
2015-05-04,ASR,105.8104,44100
2015-05-04,AVAL,3.8612,114300
2015-05-04,BAK,5.7907,1146424
2015-05-04,BAP,115.5114,339600
2015-05-04,BBAR,12.7048,379692
2015-05-04,BBD,2.8292,18918668
2015-05-04,BCH,12.0044,159460
2015-05-04,BLX,16.8729,103600
2015-05-04,BMA,38.7497,123364
2015-05-04,BRFS,19.7661,1576251
2015-05-04,BSAC,12.9766,535100
2015-05-04,BSBR,2.895,1289900
2015-05-04,BVN,10.6747,799300
2015-05-04,CBDBY,31.2345,429300
2015-05-04,CCU,13.9886,58800
2015-05-04,CIB,21.6212,341500
2015-05-04,CPA,80.7946,476800
2015-05-04,CPAC,4.797,12108
2015-05-04,CX,8.6286,10103766
2015-05-04,EC,6.621,653900
2015-05-04,EDN,14.75,44560
2015-05-04,ERJ,29.5239,688300
2015-05-04,FMX,74.9164,276300
2015-05-04,GGAL,17.134,495522
2015-05-04,GGB,1.7031,5332446
2015-05-04,GLOB,21.21,59444
2015-05-04,GPRK,4.388,10400
2015-05-04,IRS,10.2651,27796
2015-05-04,ITUB,3.2794,26781523
2015-05-04,KOF,56.3311,79200
2015-05-04,MELI,150.8644,896357
2015-05-04,OMAB,24.4199,82253
2015-05-04,PAAS,8.3988,1226800
2015-05-04,PAC,45.2055,73900
2015-05-04,PAM,17.54,114765
2015-05-04,PBR,2.896,25982800
2015-05-04,PSMT,72.353,166488
2015-05-04,SCCO,22.2135,1546172
2015-05-04,SID,1.5308,5858977
2015-05-04,SQM,15.9892,880242
2015-05-04,STN,23.8667,9179
2015-05-04,TGLS,8.5729,14000
2015-05-04,TGS,4.0542,136017
2015-05-04,TS,22.1345,1399500
2015-05-04,TV,27.7719,2104300
2015-05-04,TX,10.9279,151000
2015-05-04,UGP,8.6861,744818
2015-05-04,VALE,4.2208,26201461
2015-05-04,VLRS,12.04,164540
2015-05-04,YPF,29.9084,688561
2015-05-05,ABEV,4.3247,13199000
2015-05-05,AGRO,8.8271,157697
2015-05-05,AMX,14.7062,2369840
2015-05-05,ARCO,5.6913,344000
2015-05-05,ASR,109.3453,112400
2015-05-05,AVAL,3.9539,714800
2015-05-05,BAK,5.5992,999515
2015-05-05,BAP,114.7502,336100
2015-05-05,BBAR,12.4615,167565
2015-05-05,BBD,2.8349,19724607
2015-05-05,BCH,12.0113,183983
2015-05-05,BLX,16.4165,227200
2015-05-05,BMA,37.7097,123068
2015-05-05,BRFS,19.7661,1618393
2015-05-05,BSAC,13.1109,523000
2015-05-05,BSBR,3.0028,1281700
2015-05-05,BVN,10.7593,1013500
2015-05-05,CBDBY,31.6517,509000
2015-05-05,CCU,14.2309,164100
2015-05-05,CIB,22.0522,387600
2015-05-05,CPA,80.7428,525400
2015-05-05,CPAC,4.7602,16643
2015-05-05,CX,8.6197,8574600
2015-05-05,EC,6.7458,975400
2015-05-05,EDN,15.28,132417
2015-05-05,ERJ,29.833,847900
2015-05-05,FMX,75.7203,406300
2015-05-05,GGAL,16.626,393914
2015-05-05,GGB,1.7633,9841608
2015-05-05,GLOB,21.14,65032
2015-05-05,GPRK,4.315,13600
2015-05-05,IRS,10.4141,118848
2015-05-05,ITUB,3.2717,26486509
2015-05-05,KOF,57.2364,101300
2015-05-05,MELI,147.8128,580983
2015-05-05,OMAB,24.9766,156142
2015-05-05,PAAS,8.2693,1284800
2015-05-05,PAC,46.2607,55200
2015-05-05,PAM,17.2,190239
2015-05-05,PBR,3.0174,51553200
2015-05-05,PSMT,71.7138,143250
2015-05-05,SCCO,22.4245,1822145
2015-05-05,SID,1.6087,5128684
2015-05-05,SQM,15.9451,255209
2015-05-05,STN,23.9535,17783
2015-05-05,TGLS,8.5729,4600
2015-05-05,TGS,4.0461,62014
2015-05-05,TS,21.8067,2742800
2015-05-05,TV,27.1194,1704100
2015-05-05,TX,10.964,350500
2015-05-05,UGP,8.6861,725030
2015-05-05,VALE,4.6256,58733359
2015-05-05,VLRS,11.92,196858
2015-05-05,YPF,30.0149,1846624
2015-05-06,ABEV,4.3653,16995600
